num,inc_time,arint,inc_type,location,dact
581,1103931.0,358.0,1.0,139,581
582,1104237.0,306.0,1.0,69,245
583,1104976.0,739.0,1.0,664,575
584,1107333.0,2357.0,1.0,372,154
585,1110345.0,3012.0,1.0,139,487
586,1110590.0,245.0,1.0,431,499
587,1111268.0,678.0,1.0,428,1165
588,1111384.0,116.0,2.0,492,307
589,1111889.0,505.0,1.0,515,420
590,1112543.0,654.0,1.0,425,287
591,1112832.0,289.0,2.0,431,1879
592,1114914.0,2082.0,1.0,620,680
593,1115614.0,700.0,1.0,244,146
594,1117829.0,2215.0,1.0,365,203
595,1117887.0,58.0,1.0,426,407
596,1118999.0,1112.0,1.0,581,290
597,1119251.0,252.0,1.0,158,344
598,1119288.0,37.0,2.0,443,604
599,1119348.0,60.0,1.0,572,1137
600,1120570.0,1222.0,1.0,186,428
601,1120928.0,358.0,1.0,22,1377
602,1122654.0,1726.0,2.0,290,572
603,1122931.0,277.0,1.0,345,213
604,1123377.0,446.0,1.0,443,236
605,1123412.0,35.0,1.0,598,883
606,1124163.0,751.0,1.0,588,1396
607,1125476.0,1313.0,1.0,105,488
608,1126518.0,1042.0,1.0,58,1309
609,1127560.0,1042.0,1.0,374,306
610,1129375.0,1815.0,1.0,581,215
611,1129747.0,372.0,1.0,440,276
612,1139466.0,9719.0,2.0,650,783
613,1143912.0,4446.0,2.0,269,945
614,1147080.0,3168.0,3.0,26,2983
615,1150362.0,3282.0,2.0,5,2141
616,1153584.0,3222.0,1.0,566,193
617,1154703.0,1119.0,2.0,209,1343
618,1160146.0,5443.0,2.0,158,2004
619,1169432.0,9286.0,1.0,80,509
620,1169827.0,395.0,1.0,627,764
621,1170676.0,849.0,1.0,399,309
622,1175168.0,4492.0,3.0,558,4277
623,1178443.0,3275.0,1.0,261,475
624,1180879.0,2436.0,2.0,562,1197
625,1181800.0,921.0,1.0,1,2444
626,1181941.0,141.0,2.0,186,2360
627,1183436.0,1495.0,1.0,478,747
628,1184455.0,1019.0,1.0,528,740
629,1184704.0,249.0,2.0,427,336
630,1184877.0,173.0,1.0,232,278
631,1185543.0,666.0,2.0,506,445
632,1192614.0,7071.0,1.0,372,3274
633,1193473.0,859.0,2.0,395,829
634,1194462.0,989.0,3.0,300,2684
635,1196095.0,1633.0,1.0,85,201
636,1197101.0,1006.0,1.0,140,305
637,1197363.0,262.0,1.0,455,957
638,1202659.0,5296.0,1.0,43,362
639,1206977.0,4318.0,2.0,449,991
640,1207603.0,626.0,2.0,419,1514
641,1210701.0,3098.0,2.0,449,451
642,1211138.0,437.0,1.0,526,179
643,1211363.0,225.0,1.0,285,178
644,1211549.0,186.0,1.0,521,529
645,1215055.0,3506.0,1.0,411,1428
646,1215229.0,174.0,1.0,227,163
647,1220633.0,5404.0,2.0,328,919
648,1224855.0,4222.0,1.0,249,601
649,1231752.0,6897.0,1.0,333,195
650,1256494.0,24742.0,1.0,255,872
651,1256885.0,391.0,2.0,656,1570
652,1263109.0,6224.0,1.0,245,406
653,1274542.0,11433.0,2.0,671,945
654,1276573.0,2031.0,1.0,602,413
655,1281863.0,5290.0,1.0,139,236
656,1282273.0,410.0,1.0,624,266
657,1283141.0,868.0,1.0,625,308
658,1283163.0,22.0,1.0,516,747
659,1284376.0,1213.0,2.0,567,1312
660,1284830.0,454.0,2.0,497,1514
661,1285384.0,554.0,2.0,576,773
662,1286569.0,1185.0,2.0,140,430
663,1286921.0,352.0,1.0,424,245
664,1286942.0,21.0,1.0,666,926
665,1287853.0,911.0,1.0,204,197
666,1287910.0,57.0,2.0,95,619
667,1288705.0,795.0,1.0,247,269
668,1293246.0,4541.0,1.0,99,4946
669,1294327.0,1081.0,1.0,312,433
670,1294703.0,376.0,1.0,61,336
671,1295914.0,1211.0,1.0,201,927
672,1296096.0,182.0,1.0,266,492
673,1296562.0,466.0,1.0,451,317
